name,weather,humidity,temp,speed,grnd_level,dt,hour
247,Nandurbar,Clouds,78,300.85,10.91,976,2024-07-26 11:16:47,11
248,Narayangaon,Clouds,73,298.44,9.16,932,2024-07-26 11:16:47,11
249,Narkhed,Clouds,95,296.91,4.6,954,2024-07-26 11:16:49,11
250,Nashik,Clouds,80,298.31,9.72,939,2024-07-26 11:16:24,11
251,Nashik,Clouds,81,298.25,9.69,939,2024-07-26 11:16:39,11
252,Navi Mumbai,Clouds,83,301.12,5.14,1002,2024-07-26 11:16:48,11
253,Neral,Clouds,89,300.94,4.88,999,2024-07-26 11:16:50,11
254,Nerur,Clouds,42,307.07,9.1,993,2024-07-26 11:16:50,11
255,Nevasa,Clouds,75,298.38,5.79,950,2024-07-26 11:16:51,11
256,Nilanga,Clouds,89,295.45,6.31,938,2024-07-26 11:16:53,11
257,Nipāni,Clouds,82,298.31,8.43,940,2024-07-26 11:16:53,11
258,Niphad,Clouds,74,299.13,10.36,942,2024-07-26 11:16:53,11
259,Osmanabad,Clouds,85,296.13,8.03,932,2024-07-26 11:16:54,11
260,Ozar,Clouds,79,298.46,9.89,938,2024-07-26 11:16:54,11
261,Pabal,Clouds,73,298.5,9.78,931,2024-07-26 11:16:55,11
262,Pāchora,Clouds,69,302.22,8.45,972,2024-07-26 11:16:55,11
263,Paithan,Clouds,80,299.97,5.32,953,2024-07-26 11:16:56,11
264,Pālghar,Clouds,87,301.1,8.02,1002,2024-07-26 11:16:56,11
265,Pānchgani,Clouds,85,293.02,5.59,869,2024-07-26 11:16:57,11
266,Pandharpur,Clouds,75,299.29,5.97,955,2024-07-26 11:16:57,11
267,Pandhurli,Clouds,76,298.71,10.3,939,2024-07-26 11:16:58,11
268,Panhāla,Clouds,89,295.71,6.03,916,2024-07-26 11:16:58,11
269,Panvel,Clouds,88,301.19,6.51,1004,2024-07-26 11:16:58,11
270,Parbhani,Clouds,79,298.04,7.69,956,2024-07-26 11:16:58,11
271,Parel,Rain,86,300.81,7.58,1006,2024-07-26 11:16:59,11
272,Parli Vaijnāth,Clouds,83,296.9,7.55,952,2024-07-26 11:14:16,11
273,Parola,Clouds,68,302.22,8.25,973,2024-07-26 11:16:59,11
274,Partūr,Clouds,84,296.82,6.27,953,2024-07-26 11:17:00,11
275,Patan,Clouds,65,301.36,1.54,863,2024-07-26 11:12:03,11
276,Pāthardi,Clouds,76,297.44,8.25,943,2024-07-26 11:17:01,11
277,Pāthri,Clouds,80,297.82,7.57,954,2024-07-26 11:17:01,11
278,Pātūr,Clouds,78,299.97,7.7,959,2024-07-26 11:17:01,11
279,Paturda,Clouds,84,299.42,5.77,973,2024-07-26 11:17:01,11
280,Pawni,Rain,88,298.63,5.22,973,2024-07-26 11:17:03,11
281,Pawni,Rain,88,298.63,5.22,973,2024-07-26 11:17:03,11
282,Pedgaon,Clouds,81,297.35,6.34,947,2024-07-26 11:17:03,11
283,Pen,Clouds,89,301.17,5.78,1004,2024-07-26 11:17:04,11
284,Phaltan,Clouds,76,298.31,5.08,942,2024-07-26 11:17:04,11
285,Pimpalgaon Raja,Clouds,76,300.52,7.15,968,2024-07-26 11:17:06,11
286,Pimpri,Clouds,79,298.13,7.53,942,2024-07-26 11:17:06,11
287,Pimpri-Chinchwad,Clouds,79,298.12,7.59,942,2024-07-26 11:15:15,11
288,Pīpri,Haze,89,299.47,3.09,944,2024-07-26 11:17:07,11
289,Powai,Clouds,83,300.92,5.14,998,2024-07-26 11:17:07,11
290,Prakasha,Clouds,76,301.75,10.34,988,2024-07-26 11:17:09,11
291,Pulgaon,Rain,84,299.35,6.4,969,2024-07-26 11:17:09,11
292,Pune,Clouds,78,298.53,7.29,933,2024-07-26 11:15:25,11
293,Puntamba,Clouds,69,298.8,9.09,945,2024-07-26 11:17:12,11
294,Pūrna,Clouds,79,300.09,8.17,960,2024-07-26 11:17:13,11
295,Pusad,Clouds,76,299.8,9.53,955,2024-07-26 11:17:13,11
296,Rahimatpur,Clouds,75,299.16,8.7,923,2024-07-26 11:17:15,11
297,Rāhuri,Clouds,71,299.27,7.18,941,2024-07-26 11:17:15,11
298,Raigarh,Clouds,78,302.31,6.17,969,2024-07-26 11:17:16,11
299,Rājāpur,Clouds,55,308.27,3.04,982,2024-07-26 11:17:17,11
300,Rājgurunagar,Clouds,76,298.36,9.13,929,2024-07-26 11:17:17,11
301,Rājur,Rain,87,298.31,6.63,976,2024-07-26 11:17:18,11
302,Rājūra,Clouds,88,298.09,6.23,975,2024-07-26 11:17:19,11
303,Rāmtek,Rain,89,300.57,4.42,962,2024-07-26 11:17:20,11
304,Ratnagiri,Clouds,84,300.97,7.0,1001,2024-07-26 11:17:21,11
305,Rāver,Clouds,86,299.04,4.64,967,2024-07-26 11:17:21,11
306,Revadanda,Clouds,88,300.8,6.55,997,2024-07-26 11:17:25,11
307,Risod,Clouds,82,297.72,8.67,943,2024-07-26 11:17:26,11
308,Roha,Clouds,91,299.31,4.01,995,2024-07-26 11:17:26,11
309,Selu,Clouds,82,297.23,7.27,955,2024-07-26 11:17:27,11
310,Sakri,Rain,45,310.94,4.39,988,2024-07-26 11:17:28,11
311,Sangameshwar,Clouds,84,299.92,4.35,984,2024-07-26 11:17:29,11
312,Sangamner,Clouds,64,300.29,9.65,929,2024-07-26 11:17:30,11
313,Sangli,Clouds,80,298.97,9.3,943,2024-07-26 11:17:30,11
314,Sāngola,Clouds,67,300.67,8.77,946,2024-07-26 11:17:31,11
315,Saoli,Rain,93,297.3,4.54,978,2024-07-26 11:17:32,11
316,Saoner,Clouds,90,301.07,4.55,959,2024-07-26 11:17:32,11
317,Sarangkheda,Clouds,72,302.41,12.12,984,2024-07-26 11:17:33,11
318,Saswad,Clouds,85,296.0,7.84,927,2024-07-26 11:17:33,11
319,Satānā,Clouds,71,300.1,10.04,929,2024-07-26 11:17:34,11
320,Satara,Clouds,80,297.62,8.6,920,2024-07-26 11:17:34,11
321,Satara,Clouds,78,298.53,7.29,933,2024-07-26 11:17:35,11
322,Sāvantvādi,Clouds,85,299.07,4.86,996,2024-07-26 11:17:36,11
323,Sāvda,Clouds,82,300.08,5.95,969,2024-07-26 11:17:36,11
324,Selu,Clouds,82,297.23,7.27,955,2024-07-26 11:17:38,11
325,Sevagram,Rain,85,298.95,5.24,971,2024-07-26 11:17:38,11
326,Shāhāda,Clouds,76,301.7,10.04,980,2024-07-26 11:17:40,11
327,Shāhāpur,Clouds,90,299.07,4.58,994,2024-07-26 11:17:41,11
328,Shegaon,Clouds,78,300.28,6.32,969,2024-07-26 11:17:42,11
329,Shikrapur,Clouds,71,299.31,9.79,937,2024-07-26 11:17:43,11
330,Shiraguppi,Clouds,74,299.63,9.9,941,2024-07-26 11:17:44,11
331,Shirdi,Clouds,69,298.74,9.6,944,2024-07-26 11:17:45,11
332,Shirgaon,Clouds,87,301.23,8.46,1001,2024-07-26 11:17:45,11
333,Shirol,Clouds,77,299.09,9.72,942,2024-07-26 11:17:46,11
334,Shirpur,Clouds,73,302.1,10.11,979,2024-07-26 11:17:46,11
335,Shirud,Clouds,83,299.14,1.03,981,2024-07-26 11:17:47,11
336,Shirwal,Clouds,81,297.68,5.75,919,2024-07-26 11:17:47,11
337,Shivaji Nagar,Clouds,78,298.53,7.29,933,2024-07-26 11:17:48,11
338,Shrīgonda,Clouds,77,297.78,7.36,941,2024-07-26 11:17:48,11
339,Sillod,Clouds,74,299.19,10.29,932,2024-07-26 11:17:49,11
340,Sindi,Rain,86,301.64,5.55,971,2024-07-26 11:17:50,11
341,Sindkheda,Clouds,68,302.99,11.43,980,2024-07-26 11:17:51,11
342,Sennar,Clouds,61,302.27,8.15,960,2024-07-26 11:17:51,11
343,Sirūr,Clouds,68,299.62,11.67,934,2024-07-26 11:17:53,11
